date,close,high,low,open,volume,symbol,market_cap
2023-01-01,0.249771,0.249771,0.244245,0.246414,1.1336999e+08,ADA,3.5e+10
2023-01-02,0.253828,0.255767,0.247368,0.249778,1.593288e+08,ADA,3.5e+10
2023-01-03,0.252796,0.255062,0.250548,0.2538,1.5355554e+08,ADA,3.5e+10
2023-01-04,0.267677,0.269564,0.252244,0.252796,2.8994518e+08,ADA,3.5e+10
2023-01-05,0.269102,0.270251,0.264064,0.267689,1.7551147e+08,ADA,3.5e+10
2023-01-06,0.278652,0.279359,0.268135,0.26909,3.264808e+08,ADA,3.5e+10
2023-01-07,0.277105,0.280018,0.272766,0.278664,1.6648808e+08,ADA,3.5e+10
2023-01-08,0.295218,0.295218,0.274984,0.277028,3.911605e+08,ADA,3.5e+10
2023-01-09,0.317102,0.340881,0.295414,0.295414,9.571748e+08,ADA,3.5e+10
2023-01-10,0.322496,0.324518,0.309148,0.317078,4.1546963e+08,ADA,3.5e+10
2023-01-11,0.322749,0.322872,0.308705,0.322502,3.2398314e+08,ADA,3.5e+10
2023-01-12,0.329758,0.333765,0.318243,0.327487,4.973436e+08,ADA,3.5e+10
2023-01-13,0.345771,0.349315,0.324763,0.329755,3.6560403e+08,ADA,3.5e+10
2023-01-14,0.352552,0.369038,0.343055,0.345739,7.471266e+08,ADA,3.5e+10
2023-01-15,0.350368,0.353192,0.339976,0.35262,3.5808614e+08,ADA,3.5e+10
2023-01-16,0.35004,0.362748,0.340661,0.350418,3.988128e+08,ADA,3.5e+10
2023-01-17,0.345761,0.356015,0.345744,0.350087,2.9624624e+08,ADA,3.5e+10
2023-01-18,0.326835,0.354608,0.326834,0.345771,4.6198243e+08,ADA,3.5e+10
2023-01-19,0.339099,0.342545,0.326745,0.326841,2.5207114e+08,ADA,3.5e+10
2023-01-20,0.364586,0.364757,0.334704,0.339047,3.6535866e+08,ADA,3.5e+10
2023-01-21,0.369026,0.379425,0.359161,0.364589,6.0923174e+08,ADA,3.5e+10
2023-01-22,0.376594,0.385529,0.364004,0.369033,6.044979e+08,ADA,3.5e+10
2023-01-23,0.375504,0.382365,0.371022,0.376591,5.265441e+08,ADA,3.5e+10
2023-01-24,0.359297,0.382503,0.358295,0.37539,3.8254733e+08,ADA,3.5e+10
2023-01-25,0.37341,0.378563,0.348408,0.359345,3.9642195e+08,ADA,3.5e+10
2023-01-26,0.380059,0.386598,0.372232,0.373287,4.8111757e+08,ADA,3.5e+10
2023-01-27,0.388979,0.38929,0.37054,0.380056,3.609856e+08,ADA,3.5e+10
2023-01-28,0.382351,0.397225,0.379727,0.388993,3.5427248e+08,ADA,3.5e+10
2023-01-29,0.396313,0.398675,0.378231,0.382346,3.2841776e+08,ADA,3.5e+10
2023-01-30,0.372511,0.397607,0.368589,0.396672,3.989523e+08,ADA,3.5e+10
2023-01-31,0.390926,0.396567,0.369424,0.372546,4.6604525e+08,ADA,3.5e+10
2023-02-01,0.397243,0.401057,0.372723,0.390863,4.883399e+08,ADA,3.5e+10
2023-02-02,0.397563,0.412929,0.395664,0.397189,5.518181e+08,ADA,3.5e+10
2023-02-03,0.404336,0.406437,0.39678,0.397505,3.7910003e+08,ADA,3.5e+10
2023-02-04,0.399726,0.405233,0.398334,0.404233,2.6489795e+08,ADA,3.5e+10
2023-02-05,0.392472,0.401686,0.384337,0.399729,3.4058784e+08,ADA,3.5e+10
2023-02-06,0.382421,0.402419,0.381602,0.392477,3.4327574e+08,ADA,3.5e+10
2023-02-07,0.39921,0.399266,0.382383,0.382463,3.7168454e+08,ADA,3.5e+10
2023-02-08,0.394033,0.402234,0.387118,0.399213,3.568941e+08,ADA,3.5e+10
2023-02-09,0.362531,0.395235,0.358936,0.394073,4.8644832e+08,ADA,3.5e+10
2023-02-10,0.358635,0.365434,0.355788,0.362464,3.5771104e+08,ADA,3.5e+10
2023-02-11,0.369202,0.369867,0.35778,0.358656,2.2404706e+08,ADA,3.5e+10
2023-02-12,0.364296,0.373653,0.361063,0.369166,2.4129574e+08,ADA,3.5e+10
2023-02-13,0.359627,0.365529,0.346896,0.364292,3.688325e+08,ADA,3.5e+10
